arret,didoc,ligne,montees_jour,descentes_jour
Grand-Lancy,8587078,62,173.6,139.6
Petit-Lancy,8587079,3,72.0,64.9
Palettes,8587080,25,679.8,691.2
Pont-Butin,8587081,Y,159.3,138.7
Carouge-Rondeau,8587082,33,1216.0,944.7
Carouge-Rondeau,8587082,9,428.3,330.9
Carouge-Rondeau,8587082,53,394.8,271.1
Carouge-Rondeau,8587082,42,389.7,296.3
Carouge-Rondeau,8587082,68,463.8,367.6
Carouge-Rondeau,8587082,64,918.5,853.7
Carouge-Rondeau,8587082,12,649.4,631.5
Tours-de-Carouge,8587083,F,141.0,102.3
Tours-de-Carouge,8587083,53,154.5,126.2
Tours-de-Carouge,8587083,8,176.5,177.5
Tours-de-Carouge,8587083,31,312.7,296.0
Moillesulaz,8587084,64,147.9,146.7
Moillesulaz,8587084,19,1062.3,919.4
Moillesulaz,8587084,L,642.9,551.3
Thônex-Vallard,8587085,7,100.3,91.6
Thônex-Vallard,8587085,3,193.4,130.3
Thônex-Vallard,8587085,11,112.1,82.4
Thônex-Vallard,8587085,53,94.1,62.3
Thônex-Vallard,8587085,22,190.2,164.6
Chêne-Bourg,8587086,7,529.1,454.8
Chêne-Bourg,8587086,28,586.2,526.0
Balexert,8587087,15,823.8,766.8
Balexert,8587087,5,290.7,241.7
Balexert,8587087,23,856.7,617.6
Blandonnet,8587088,7,175.1,154.7
Blandonnet,8587088,5,297.9,254.3
Blandonnet,8587088,17,212.6,221.0
Blandonnet,8587088,53,118.0,96.3
Blandonnet,8587088,39,294.3,247.1
Blandonnet,8587088,A,262.5,270.3
Blandonnet,8587088,C,470.0,388.4
Blandonnet,8587088,3,314.2,264.2
Blandonnet,8587088,73,382.1,333.4
Blandonnet,8587088,27,161.3,162.5
Les Avanchets,8587089,39,134.3,140.1
Les Avanchets,8587089,38,167.5,151.9
Les Avanchets,8587089,15,486.4,473.0
Les Avanchets,8587089,18,526.3,503.0
Les Avanchets,8587089,35,324.7,314.4
Vernier-Village,8587090,31,91.4,66.1
Vernier-Village,8587090,10,131.7,100.5
Aéroport,8587091,47,922.6,828.4
Aéroport,8587091,7,647.3,612.1
Aéroport,8587091,E,443.2,324.9
Aéroport,8587091,42,526.5,478.0
Aéroport,8587091,57,702.1,614.2
Aéroport,8587091,17,1049.8,830.7
Aéroport,8587091,14,474.4,396.9
Aéroport,8587091,F,606.6,592.1
Aéroport,8587091,K,292.1,285.2
Aéroport,8587091,35,666.1,436.6
Aéroport,8587091,W,1133.4,783.1
Cointrin,8587092,10,140.8,92.6
Cointrin,8587092,8,30.8,20.1
Cointrin,8587092,53,76.4,56.1
Meyrin-Village,8587093,T,88.6,81.8
Meyrin-Village,8587093,73,56.4,37.4
Onex-Cité,8587094,14,246.1,230.5
Onex-Cité,8587094,22,412.2,317.4
Onex-Cité,8587094,57,262.1,187.1
Bernex,8587095,71,56.8,56.4
Croix-de-Rozon,8587096,W,85.8,63.8
Veyrier-Douane,8587097,25,28.8,20.6
Veyrier-Douane,8587097,43,34.4,33.8
Veyrier-Douane,8587097,71,16.1,13.5
Vésenaz,8587098,28,103.8,88.1
Collonge-Bellerive,8587099,34,28.5,25.9
Hermance,8587100,64,19.4,19.1
